playerID,teamID,age,points,nameFirst,nameLast
weavelu01,ARI,29.0,134.60532,Luke,Weaver
hentgsa01,CLE,26.0,132.57721,Sam,Hentges
webbja01,ATL,29.0,131.19116,Jacob,Webb
widenta01,ARI,28.0,130.38666,Taylor,Widener
borucry01,TOR,28.0,129.63834,Ryan,Borucki
coonrsa01,PHI,30.0,128.7984,Sam,Coonrod
taylobl01,HOU,27.0,127.73911,Blake,Taylor
wantzan01,LAA,27.0,127.70316,Andrew,Wantz
ryanjo04,MIN,26.0,126.295166,Joe,Ryan
quijajo01,LAA,27.0,124.24427,Jose,Quijada
sadleca02,SEA,32.0,122.88401,Casey,Sadler
crowewi01,PIT,28.0,121.052055,Wil,Crowe
gilbety01,ARI,29.0,120.85396,Tyler,Gilbert
lucchjo01,NYN,29.0,120.25706,Joey,Lucchesi
knebeco01,PHI,31.0,117.29206,Corey,Knebel
bickfph01,LAN,27.0,115.97218,Phil,Bickford
wieckbr01,CHN,31.0,115.78662,Brad,Wieck
hudsoda02,SLN,28.0,115.26279,Dakota,Hudson
hudsoda02,LAN,28.0,115.26279,Dakota,Hudson
kingjo01,TEX,28.0,114.86252,John,King
warreau01,LAA,26.0,114.82174,Austin,Warren
clevimi01,SDN,32.0,111.958046,Mike,Clevinger
castrmi01,NYN,28.0,111.509735,Miguel,Castro
anderni01,TBA,32.0,111.384605,Nick,Anderson
ruckemi01,CHN,28.0,110.39778,Michael,Rucker
gratebr01,LAN,24.0,109.652306,Brusdar,Graterol
wilsoju10,CIN,35.0,109.483894,Justin,Wilson
gustaja01,MIL,30.0,108.730835,Jandel,Gustave
toussto01,ATL,26.0,106.979675,Touki,Toussaint
hernada02,BOS,26.0,105.75296,Darwinzon,Hernandez
beedety01,SFN,29.0,105.336586,Tyler,Beede
stripro01,TOR,33.0,103.77262,Ross,Stripling
baezmi01,SDN,26.0,102.812614,Michel,Baez
tapiado01,KCA,31.0,101.322586,Domingo,Tapia
ferguca01,LAN,26.0,101.27228,Caleb,Ferguson
mckaybr01,TBA,27.0,101.21025,Brendan,McKay
thorntr01,TOR,29.0,100.33563,Trent,Thornton
mearsni01,PIT,26.0,99.636635,Nick,Mears
woodfja01,SLN,26.0,98.21697,Jake,Woodford
lorenmi01,LAA,30.0,97.698845,Michael,Lorenzen
barrija01,LAA,26.0,97.60795,Jaime,Barria
davisau01,BOS,29.0,96.24259,Austin,Davis
effrosc01,CHN,29.0,96.12687,Scott,Effross
acevedo01,OAK,28.0,95.98177,Domingo,Acevedo
mikolmi01,SLN,34.0,95.775444,Miles,Mikolas
rodrima01,CHN,26.0,94.323784,Manuel,Rodriguez
peterdi01,PIT,30.0,93.58313,Dillon,Peters
reidfse01,NYN,27.0,92.62211,Sean,Reid-Foley
gotttr01,MIL,30.0,89.79318,Trevor,Gott
newcose01,ATL,29.0,87.73754,Sean,Newcomb
sorokmi01,ATL,25.0,86.06811,Mike,Soroka
hergeji01,LAA,29.0,80.73579,Jimmy,Herget
brebbjo01,SFN,32.0,80.16924,John,Brebbia
bandaan01,PIT,29.0,79.62794,Anthony,Banda
wilsobr02,PIT,25.0,78.18031,Bryse,Wilson
perezci01,BAL,26.0,76.55591,Cionel,Perez
sherrry01,PHI,32.0,75.46047,Ryan,Sherriff
lowthza01,BAL,26.0,73.09896,Zac,Lowther
swanser01,SEA,29.0,72.666405,Erik,Swanson
nelsoni01,PHI,27.0,72.33929,Nick,Nelson
stashco01,MIN,28.0,72.29351,Cody,Stashak
rodrijo04,NYA,31.0,69.28557,Joely,Rodriguez
davidtu01,ATL,26.0,67.847435,Tucker,Davidson
